paragraph_index,original_iast,run_count
8,athaivam advaya-jñāna-lakṣaṇaṁ tat tattvaṁ sāmānyato lakṣayitvā punar upāsaka-yogyatā-vaiśiṣṭyena prakaṭita-nija-sattā-viśeṣaṁ viśeṣato nirūpayati vadanti ity asyaivottarārdhena ,3
9,brahmeti paramātmeti bhagavān iti śabdyate | [bhā.pu. 1.2.11] iti |,2
17,yad vāsudevaṁ kavayo vadanti || [bhā.pu. 5.12.11] iti |,2
21,granthiṁ vibhetsyasi mamāham iti prarūḍham [bhā.pu. 4.11.30] iti |,2
31,vācako bhagavac-chabdas tasyādyasyākṣarātmanaḥ ||  [vi.pu. 6.5.66-69] ,2
38,sa ca bhūteṣv aśeṣeṣu va-kārārthas tato’vyayaḥ ||  [vi.pu. 6.5.73-75] iti coktvā—,2
40,bhagavac-chabda-vācyāni vinā heyair guṇādibhiḥ || [vi.pu. 6.5.79] iti paryantena |,2
41,pūrvavad atra viśeṣya-viśeṣaṇa-viśiṣṭatā vivecanīyā | viśeṣaṇasyāpy aheyatvaṁ vyaktībhaviṣyatīti | arūpaṁ pāṇi-pādādy-asaṁyutam itīdaṁ brahmākhya-kevala-viśeṣyāvirbhāva-niṣṭham | aiśvaryasya samagrasya ity ādhikaṁ kevala-viśeṣaṇa-niṣṭham | vibhuṁ sarva-gatam ity ādikaṁ tu viśiṣṭa-niṣṭham | ,9
42,"athavā, arūpam ity-ādikaṁ prākṛta-rūpādi-niṣedha-niṣṭham | ata eva pāṇi-pādādya-saṁyutam iti saṁyoga-sambandha eva parihriyate, na tu samavāya-sambandha iti jñeyam | vibhum iti sarva-vaibhava-yuktam ity arthaḥ | sarva-gatam aparicchinnam |  vyāpīti sarva-vyāpakam | avyāptam iti anyena vyāptum aśakyam | tad etad brahma-svarūpaṁ bhagavac-chabdena vācyam, na tu lakṣyam | ",11
44,"evaṁ saty akṣara-sāmyān nirbrūyād [nirukta 1.1.2] iti nirukta-matam āśritya rūḍhim apy āśritya bhagādi-śabdānām artham āha—sambharta iti | sambhartā sva-bhaktānāṁ poṣakaḥ | bhartā dhārakaḥ sthāpakaḥ ity arthaḥ | netā sva-bhakti-phalasya premṇaḥ prāpakaḥ | gamayitā sva-loka-prāpakaḥ | sraṣṭā sva-bhakteṣu tat-tad-guṇasyodgamayitā | jagat-poṣakatvādikaṁ tu tasya paramparayaiva, na tu sākṣād iti jñeyam | ",15
