paragraph_index,original_iast,aksharamukha_output,sanscript_output
6,"Śrī-brahma-sūtra-govinda-bhāṣyam, Hindi-bhāṣānuvada-sahitam. Sri-Baladeva-vidhyabhushana-mahodaya-viracitam. (ed.) Kusumasarovarawala Krishna Das Babaji. Sam. 2011 (AD 1955).","श्रीब्रह्मसूत्रगोविन्दभाष्यम्, हिन्दिभाषानुवदसहितम्। स्रिबलदेवविध्यभुस्हनमहोदयविरचितम्। (एद्।) कुसुमसरोवरwअल क्रिस्ह्न दस् बबजि। सम्। २०११ (अद् १९५५)।","श्रीब्रह्मसूत्रगोविन्दभाष्यम्, हिन्दिभाषानुवदसहितम्. स्रिबलदेवविध्यभुस्हनमहोदयविरचितम्. (एद्.) कुसुमसरोवरwअल क्रिस्ह्न दस् बबजि. सम्. २०११ (अद् १९५५)."
9,"Vedānta-darśanam. (ed.) Haridāsa Śāstrī. Vrindavana: Purana Kalidaha, n.d. (ca. 1980).","वेदान्तदर्शनम्। (एद्।) हरिदास शास्त्री। व्रिन्दवन: पुरन कलिदह, न्।द्। (च। १९८०)।","वेदान्तदर्शनम्. (एद्.) हरिदास शास्त्री. व्रिन्दवन: पुरन कलिदह, न्.द्. (च. १९८०)."
23,satyaṁ jñānam anantaṁ brahma śivādi-stutaṁ bhajad-rūpam |,सत्यं ज्ञानम् अनन्तं ब्रह्म शिवादिस्तुतं भजद्रूपम् ।,सत्यꣳ ज्ञानम् अनन्तꣳ ब्रह्म शिवादिस्तुतꣳ भजद्रूपम् ।
24,govindaṁ tam acintyaṁ hetum adoṣaṁ namasyāmaḥ ||,गोविन्दं तम् अचिन्त्यं हेतुम् अदोषं नमस्यामः ॥,गोविन्दꣳ तम् अचिन्त्यꣳ हेतुम् अदोषꣳ नमस्यामः ॥
25,sūtrāṁśubhis tamāṁsi vyudasya vastūni yaḥ parīkṣyate |,सूत्रांशुभिस् तमांसि व्युदस्य वस्तूनि यः परीक्ष्यते ।,सूत्राꣳशुभिस् तमाꣳसि व्युदस्य वस्तूनि यः परीक्ष्यते ।
28,"dvāpare vedeṣu samutsanneṣu saṅkīrṇa-prajñair brahmādibhir abhyarthito bhagavān puruṣottamaḥ kṛṣṇa-dvaipāyanaḥ san tān uddhṛtya vibabhāja | tad artha-nirṇetrīṁ catu-lakṣaṇīṁ brahma-mīmāṁsāviścakāra ity asti kathā skāndī | vedeṣu khalu karmaṇe nikhila-pumartha-hetutvaṁ viṣṇos tu karmāṅgatvam, svargādeḥ karma-phalasya nityatvaṁ, jīvasya prakṛteś ca svataḥ kartṛtvam | paricchinnasya pratibimbasya bhrāntasya vā brahmaṇa eva jīvatvam | cin-mātra-brahmātmakatva-dhī-mātrād evāsya jīvasya saṁsṛti-vinivṛttir ity āpātato durmatibhiḥ pratīyante | tān imān pūrva-pakṣān vidhāya parasya viṣṇor iha svāntantrya-sarva-kartṛtva-sārvajñya-pumarthatvādi-dharmaka-vijñāna-svarūpatvaṁ nirūpyate | ","द्वापरे वेदेषु समुत्सन्नेषु सङ्कीर्णप्रज्ञैर् ब्रह्मादिभिर् अभ्यर्थितो भगवान् पुरुषोत्तमः कृष्णद्वैपायनः सन् तान् उद्धृत्य विबभाज । तद् अर्थनिर्णेत्रीं चतुलक्षणीं ब्रह्ममीमांसाविश्चकार इत्य् अस्ति कथा स्कान्दी । वेदेषु खलु कर्मणे निखिलपुमर्थहेतुत्वं विष्णोस् तु कर्माङ्गत्वम्, स्वर्गादेः कर्मफलस्य नित्यत्वं, जीवस्य प्रकृतेश् च स्वतः कर्तृत्वम् । परिच्छिन्नस्य प्रतिबिम्बस्य भ्रान्तस्य वा ब्रह्मण एव जीवत्वम् । चिन्मात्रब्रह्मात्मकत्वधीमात्राद् एवास्य जीवस्य संसृतिविनिवृत्तिर् इत्य् आपाततो दुर्मतिभिः प्रतीयन्ते । तान् इमान् पूर्वपक्षान् विधाय परस्य विष्णोर् इह स्वान्तन्त्र्यसर्वकर्तृत्वसार्वज्ञ्यपुमर्थत्वादिधर्मकविज्ञानस्वरूपत्वं निरूप्यते । ","द्वापरे वेदेषु समुत्सन्नेषु सङ्कीर्णप्रज्ञैर् ब्रह्मादिभिर् अभ्यर्थितो भगवान् पुरुषोत्तमः कृष्णद्वैपायनः सन् तान् उद्धृत्य विबभाज । तद् अर्थनिर्णेत्रीꣳ चतुलक्षणीꣳ ब्रह्ममीमाꣳसाविश्चकार इत्य् अस्ति कथा स्कान्दी । वेदेषु खलु कर्मणे निखिलपुमर्थहेतुत्वꣳ विष्णोस् तु कर्माङ्गत्वम्, स्वर्गादेः कर्मफलस्य नित्यत्वꣳ, जीवस्य प्रकृतेश् च स्वतः कर्तृत्वम् । परिच्छिन्नस्य प्रतिबिम्बस्य भ्रान्तस्य वा ब्रह्मण एव जीवत्वम् । चिन्मात्रब्रह्मात्मकत्वधीमात्राद् एवास्य जीवस्य सꣳसृतिविनिवृत्तिर् इत्य् आपाततो दुर्मतिभिः प्रतीयन्ते । तान् इमान् पूर्वपक्षान् विधाय परस्य विष्णोर् इह स्वान्तन्त्र्यसर्वकर्तृत्वसार्वज्ञ्यपुमर्थत्वादिधर्मकविज्ञानस्वरूपत्वꣳ निरूप्यते । "
30,"tathā hi, īśvara-jīva-prakṛti-kāla-karmāṇi pañca-tattvāni śrūyante | teṣu vibhu-caitanyam īśvaraḥ | aṇu-caitanyaṁ tu jīvaḥ | nitya-jñānādi-guṇakatvam asmad-arthatvaṁ cobhayatra | jñānasya jñātṛtvaṁ prakāśasya sva-prakāśakatvavad aviruddham | tatreśvaraḥ svatantraḥ svarūpa-śaktimān praveśa-niyamanābhyāṁ jagad vidadhat kṣetrajña-bhogāpavargo vitanoti | eko’pi bahu-bhāvenābhinno’pi guṇa-guṇi-bhāvena ca vidvat-pratīter viṣayo’vyakto’pi bhakti-vyaṅga eka-rasaḥ prayacchati cit-sukhaṁ svarūpam | ","तथा हि, ईश्वरजीवप्रकृतिकालकर्माणि पञ्चतत्त्वानि श्रूयन्ते । तेषु विभुचैतन्यम् ईश्वरः । अणुचैतन्यं तु जीवः । नित्यज्ञानादिगुणकत्वम् अस्मदर्थत्वं चोभयत्र । ज्ञानस्य ज्ञातृत्वं प्रकाशस्य स्वप्रकाशकत्ववद् अविरुद्धम् । तत्रेश्वरः स्वतन्त्रः स्वरूपशक्तिमान् प्रवेशनियमनाभ्यां जगद् विदधत् क्षेत्रज्ञभोगापवर्गो वितनोति । एकोऽपि बहुभावेनाभिन्नोऽपि गुणगुणिभावेन च विद्वत्प्रतीतेर् विषयोऽव्यक्तोऽपि भक्तिव्यङ्ग एकरसः प्रयच्छति चित्सुखं स्वरूपम् । ","तथा हि, ईश्वरजीवप्रकृतिकालकर्माणि पञ्चतत्त्वानि श्रूयन्ते । तेषु विभुचैतन्यम् ईश्वरः । अणुचैतन्यꣳ तु जीवः । नित्यज्ञानादिगुणकत्वम् अस्मदर्थत्वꣳ चोभयत्र । ज्ञानस्य ज्ञातृत्वꣳ प्रकाशस्य स्वप्रकाशकत्ववद् अविरुद्धम् । तत्रेश्वरः स्वतन्त्रः स्वरूपशक्तिमान् प्रवेशनियमनाभ्याꣳ जगद् विदधत् क्षेत्रज्ञभोगापवर्गो वितनोति । एकोऽपि बहुभावेनाभिन्नोऽपि गुणगुणिभावेन च विद्वत्प्रतीतेर् विषयोऽव्यक्तोऽपि भक्तिव्यङ्ग एकरसः प्रयच्छति चित्सुखꣳ स्वरूपम् । "
32,jīvātmānas tv anekāvasthā bahavaḥ | pareśa-vaimukhyāt teṣāṁ bandhas tat-sānmukhyāt tu tat-svarūpa-tad-guṇa-varaṇa-rūpa-dvividha-bandha-vinivṛttis tat-svarūpādi-sākṣāt-kṛtiḥ | ,जीवात्मानस् त्व् अनेकावस्था बहवः । परेशवैमुख्यात् तेषां बन्धस् तत्सान्मुख्यात् तु तत्स्वरूपतद्गुणवरणरूपद्विविधबन्धविनिवृत्तिस् तत्स्वरूपादिसाक्षात्कृतिः । ,जीवात्मानस् त्व् अनेकावस्था बहवः । परेशवैमुख्यात् तेषाꣳ बन्धस् तत्सान्मुख्यात् तु तत्स्वरूपतद्गुणवरणरूपद्विविधबन्धविनिवृत्तिस् तत्स्वरूपादिसाक्षात्कृतिः । 
34,"prakṛtiḥ sattvādi-guṇa-sāmyāvasthā tamo-māyādi-śabda-vācyā tad-īkṣaṇāvāpta-sāmarthyā vicitra-jagaj-jananī | kālas tu bhūta-bhaviṣyad-vartamāna-yugapac-cira-kṣiprādi-vyavahāra-hetuḥ kṣaṇādi-parārdhāntaś-cakravat parivartamānaḥ pralaya-sarga-nimitta-bhūto jaḍa-dravya-viśeṣaḥ | īśvarādayaś catvāro’rthā nityāḥ—nityo nityānāṁ cetanaś cetanānām iti, gaur anādy-anantavatī iti, sad eva saymyedam agra āsīt iti śruteḥ | jīvādayas tu tad-vaśyāś ca –","प्रकृतिः सत्त्वादिगुणसाम्यावस्था तमोमायादिशब्दवाच्या तदीक्षणावाप्तसामर्थ्या विचित्रजगज्जननी । कालस् तु भूतभविष्यद्वर्तमानयुगपच्चिरक्षिप्रादिव्यवहारहेतुः क्षणादिपरार्धान्तश्चक्रवत् परिवर्तमानः प्रलयसर्गनिमित्तभूतो जडद्रव्यविशेषः । ईश्वरादयश् चत्वारोऽर्था नित्याः—नित्यो नित्यानां चेतनश् चेतनानाम् इति, गौर् अनाद्यनन्तवती इति, सद् एव सय्म्येदम् अग्र आसीत् इति श्रुतेः । जीवादयस् तु तद्वश्याश् च –","प्रकृतिः सत्त्वादिगुणसाम्यावस्था तमोमायादिशब्दवाच्या तदीक्षणावाप्तसामर्थ्या विचित्रजगज्जननी । कालस् तु भूतभविष्यद्वर्तमानयुगपच्चिरक्षिप्रादिव्यवहारहेतुः क्षणादिपरार्धान्तश्चक्रवत् परिवर्तमानः प्रलयसर्गनिमित्तभूतो जडद्रव्यविशेषः । ईश्वरादयश् चत्वारोऽर्था नित्याः—नित्यो नित्यानाꣳ चेतनश् चेतनानाम् इति, गौर् अनाद्यनन्तवती इति, सद् एव सय्म्येदम् अग्र आसीत् इति श्रुतेः । जीवादयस् तु तद्वश्याश् च –"
39,saṁsāra-mokṣa-sthiti-bandha-hetuḥ || iti śvetāśvatara-vacanāt |,संसारमोक्षस्थितिबन्धहेतुः ॥ इति श्वेताश्वतरवचनात् ।,सꣳसारमोक्षस्थितिबन्धहेतुः ॥ इति श्वेताश्वतरवचनात् ।
