paragraph_index,original_iast,aksharamukha_output,sanscript_output
6,tasyādyaṁ granthanālekhaṁ krāntam utkrānta-khaṇḍitam |,तस्याद्यं ग्रन्थनालेखं क्रान्तम् उत्क्रान्तखण्डितम् ।,तस्याद्यꣳ ग्रन्थनालेखꣳ क्रान्तम् उत्क्रान्तखण्डितम् ।
7,paryālocyātha paryāyaṁ kṛtvā likhati jīvakaḥ ||o||,पर्यालोच्याथ पर्यायं कृत्वा लिखति जीवकः ॥ओ॥,पर्यालोच्याथ पर्यायꣳ कृत्वा लिखति जीवकः ॥ओ॥
8,athaivam advaya-jñāna-lakṣaṇaṁ tat tattvaṁ sāmānyato lakṣayitvā punar upāsaka-yogyatā-vaiśiṣṭyena prakaṭita-nija-sattā-viśeṣaṁ viśeṣato nirūpayati vadanti ity asyaivottarārdhena ,अथैवम् अद्वयज्ञानलक्षणं तत् तत्त्वं सामान्यतो लक्षयित्वा पुनर् उपासकयोग्यतावैशिष्ट्येन प्रकटितनिजसत्ताविशेषं विशेषतो निरूपयति वदन्ति इत्य् अस्यैवोत्तरार्धेन ,अथैवम् अद्वयज्ञानलक्षणꣳ तत् तत्त्वꣳ सामान्यतो लक्षयित्वा पुनर् उपासकयोग्यतावैशिष्ट्येन प्रकटितनिजसत्ताविशेषꣳ विशेषतो निरूपयति वदन्ति इत्य् अस्यैवोत्तरार्धेन 
10,"atha śrīmad-bhāgavatākhya eva śāstre kvacid anyatrāpi tad ekaṁ tattvaṁ tridhā śabdyate—kvacid brahmeti, kvacit paramātmeti, kvacid bhagavān iti ca | kintv atra śrīmad-vyāsa-samādhi-labdhād bhedāj jīva iti noktam iti jñeyam | tatra brahma-bhagavator vyākhyātayoḥ paramātmā svayam eva vyākhyāto bhavatīti prathamatas tāv eva prastūyete | mūle tu kramād vaiśiṣṭya-dyotanāya tathā vinyāsaḥ | ","अथ श्रीमद्भागवताख्य एव शास्त्रे क्वचिद् अन्यत्रापि तद् एकं तत्त्वं त्रिधा शब्द्यते—क्वचिद् ब्रह्मेति, क्वचित् परमात्मेति, क्वचिद् भगवान् इति च । किन्त्व् अत्र श्रीमद्व्याससमाधिलब्धाद् भेदाज् जीव इति नोक्तम् इति ज्ञेयम् । तत्र ब्रह्मभगवतोर् व्याख्यातयोः परमात्मा स्वयम् एव व्याख्यातो भवतीति प्रथमतस् ताव् एव प्रस्तूयेते । मूले तु क्रमाद् वैशिष्ट्यद्योतनाय तथा विन्यासः । ","अथ श्रीमद्भागवताख्य एव शास्त्रे क्वचिद् अन्यत्रापि तद् एकꣳ तत्त्वꣳ त्रिधा शब्द्यते—क्वचिद् ब्रह्मेति, क्वचित् परमात्मेति, क्वचिद् भगवान् इति च । किन्त्व् अत्र श्रीमद्व्याससमाधिलब्धाद् भेदाज् जीव इति नोक्तम् इति ज्ञेयम् । तत्र ब्रह्मभगवतोर् व्याख्यातयोः परमात्मा स्वयम् एव व्याख्यातो भवतीति प्रथमतस् ताव् एव प्रस्तूयेते । मूले तु क्रमाद् वैशिष्ट्यद्योतनाय तथा विन्यासः । "
11,"ayam arthaḥ—tad ekam evākhaṇḍānanda-svarūpaṁ tattvaṁ thūtkṛta-pārameṣṭhyādikānanda-samudayānāṁ paramahaṁsānāṁ sādhana-vaśāt tādātmyam āpanne, satyām api tadīya-svarūpa-śakti-vaicitryāṁ, tad-grahaṇāsāmarthye cetasi yathā sāmānyato lakṣitaṁ, tathaiva sphurad vā, tadvad evāvivikta-śakti-śaktimattā-bhedatayā pratipadyamānaṁ vā brahmeti śabdyate |","अयम् अर्थः—तद् एकम् एवाखण्डानन्दस्वरूपं तत्त्वं थूत्कृतपारमेष्ठ्यादिकानन्दसमुदयानां परमहंसानां साधनवशात् तादात्म्यम् आपन्ने, सत्याम् अपि तदीयस्वरूपशक्तिवैचित्र्यां, तद्ग्रहणासामर्थ्ये चेतसि यथा सामान्यतो लक्षितं, तथैव स्फुरद् वा, तद्वद् एवाविविक्तशक्तिशक्तिमत्ताभेदतया प्रतिपद्यमानं वा ब्रह्मेति शब्द्यते ।","अयम् अर्थः—तद् एकम् एवाखण्डानन्दस्वरूपꣳ तत्त्वꣳ थूत्कृतपारमेष्ठ्यादिकानन्दसमुदयानाꣳ परमहꣳसानाꣳ साधनवशात् तादात्म्यम् आपन्ने, सत्याम् अपि तदीयस्वरूपशक्तिवैचित्र्याꣳ, तद्ग्रहणासामर्थ्ये चेतसि यथा सामान्यतो लक्षितꣳ, तथैव स्फुरद् वा, तद्वद् एवाविविक्तशक्तिशक्तिमत्ताभेदतया प्रतिपद्यमानꣳ वा ब्रह्मेति शब्द्यते ।"
12,atha tad ekaṁ tattvaṁ svarūpa-bhūtayaiva śaktyā kam api viśeṣaṁ dhartuṁ parāsām api śaktīnāṁ mūlāśraya-rūpaṁ tad-anubhāvānanda-sandohāntar-bhāvita-tādṛśa-brahmānandānāṁ bhāgavata-paramahaṁsānāṁ tathānubhavaika-sādhakatama-tadīya-svarūpānanda-śakti-viśeṣātmaka-bhakti-bhāviteṣv antar-bahir apīndriyeṣu parisphurad vā tadvad vivikta-tādṛśa-śakti-śaktimattā-bhedena pratipadyamānaṁ vā bhagavān iti śabdyate | ,अथ तद् एकं तत्त्वं स्वरूपभूतयैव शक्त्या कम् अपि विशेषं धर्तुं परासाम् अपि शक्तीनां मूलाश्रयरूपं तदनुभावानन्दसन्दोहान्तर्भाविततादृशब्रह्मानन्दानां भागवतपरमहंसानां तथानुभवैकसाधकतमतदीयस्वरूपानन्दशक्तिविशेषात्मकभक्तिभावितेष्व् अन्तर्बहिर् अपीन्द्रियेषु परिस्फुरद् वा तद्वद् विविक्ततादृशशक्तिशक्तिमत्ताभेदेन प्रतिपद्यमानं वा भगवान् इति शब्द्यते । ,अथ तद् एकꣳ तत्त्वꣳ स्वरूपभूतयैव शक्त्या कम् अपि विशेषꣳ धर्तुꣳ परासाम् अपि शक्तीनाꣳ मूलाश्रयरूपꣳ तदनुभावानन्दसन्दोहान्तर्भाविततादृशब्रह्मानन्दानाꣳ भागवतपरमहꣳसानाꣳ तथानुभवैकसाधकतमतदीयस्वरूपानन्दशक्तिविशेषात्मकभक्तिभावितेष्व् अन्तर्बहिर् अपीन्द्रियेषु परिस्फुरद् वा तद्वद् विविक्ततादृशशक्तिशक्तिमत्ताभेदेन प्रतिपद्यमानꣳ वा भगवान् इति शब्द्यते । 
13,evam evoktaṁ śrī-jaḍa-bharatena—,एवम् एवोक्तं श्रीजडभरतेन—,एवम् एवोक्तꣳ श्रीजडभरतेन—
14,jñānaṁ viśuddhaṁ paramārtham ekam,ज्ञानं विशुद्धं परमार्थम् एकम्,ज्ञानꣳ विशुद्धꣳ परमार्थम् एकम्
15,anantaraṁ tv abahir brahma satyam |,अनन्तरं त्व् अबहिर् ब्रह्म सत्यम् ।,अनन्तरꣳ त्व् अबहिर् ब्रह्म सत्यम् ।
16,pratyak praśāntaṁ bhagavac-chabda-saṁjñaṁ,प्रत्यक् प्रशान्तं भगवच्छब्दसंज्ञं,प्रत्यक् प्रशान्तꣳ भगवच्छब्दसꣳज्ञꣳ
