paragraph_index,original_iast,aksharamukha_output,sanscript_output
2,"tasmai sva-lokaṁ [bhā.pu. 2.9.9] ity ādi | atra śuddha-sattva-vicāre, sattvaṁ rajas tamaḥ [bhā.pu. 12.8.45] ity ādi-mārkaṇḍeya-vākya-dvaye kecid anyathā vyācakṣata ity atra prāha—arthāntare iti | tad yathā—","तस्मै स्वलोकं [भा.पु. २.९.९] इत्य् आदि । अत्र शुद्धसत्त्वविचारे, सत्त्वं रजस् तमः [भा.पु. १२.८.४५] इत्य् आदिमार्कण्डेयवाक्यद्वये केचिद् अन्यथा व्याचक्षत इत्य् अत्र प्राह—अर्थान्तरे इति । तद् यथा—","तस्मै स्वलोकꣳ [भा.पु. २.९.९] इत्य् आदि । अत्र शुद्धसत्त्वविचारे, सत्त्वꣳ रजस् तमः [भा.पु. १२.८.४५] इत्य् आदिमार्कण्डेयवाक्यद्वये केचिद् अन्यथा व्याचक्षत इत्य् अत्र प्राह—अर्थान्तरे इति । तद् यथा—"
4,"tad eva sad-ācāreṇa draḍhayati—tasmād iti | he bhagavan ! tava śuklāṁ tanuṁ śrī-nārāyaṇākhyām | atha tāvakānāṁ ca śuklāṁ tanuṁ narākhyām | yad yasmāt sātvatāḥ sattvam eva puruṣasyeśvarasya rūpam uśanti manyante, na tv anyad rajas tamaś ceti | atra hetuḥ, yataḥ sattvāl loko vaikuṇṭḥākhyo lokatve saty apy abhayaṁ ca bhoge saty apy ātma-sukhaṁ ca | [bhā.dī. 12.8.45-46] ity eṣā ||","तद् एव सदाचारेण द्रढयति—तस्माद् इति । हे भगवन् ! तव शुक्लां तनुं श्रीनारायणाख्याम् । अथ तावकानां च शुक्लां तनुं नराख्याम् । यद् यस्मात् सात्वताः सत्त्वम् एव पुरुषस्येश्वरस्य रूपम् उशन्ति मन्यन्ते, न त्व् अन्यद् रजस् तमश् चेति । अत्र हेतुः, यतः सत्त्वाल् लोको वैकुण्ट्ःआख्यो लोकत्वे सत्य् अप्य् अभयं च भोगे सत्य् अप्य् आत्मसुखं च । [भा.दी. १२.८.४५-४६] इत्य् एषा ॥","तद् एव सदाचारेण द्रढयति—तस्माद् इति । हे भगवन् ! तव शुक्लाꣳ तनुꣳ श्रीनारायणाख्याम् । अथ तावकानाꣳ च शुक्लाꣳ तनुꣳ नराख्याम् । यद् यस्मात् सात्वताः सत्त्वम् एव पुरुषस्येश्वरस्य रूपम् उशन्ति मन्यन्ते, न त्व् अन्यद् रजस् तमश् चेति । अत्र हेतुः, यतः सत्त्वाल् लोको वैकुण्ट्ःआख्यो लोकत्वे सत्य् अप्य् अभयꣳ च भोगे सत्य् अप्य् आत्मसुखꣳ च । [भा.दी. १२.८.४५-४६] इत्य् एषा ॥"
6,"atha śrī-bhagavad-āvirbhāve dvitīya-skandha-prakaraṇa-samāptāv asya vākyasya cūrṇikātaḥ prāg idaṁ vicāryam | tatrādvaita-vādina evaṁ vadanti—sajātīya-vijātīya-svagata-bheda-rahitaṁ jñānam eva paraṁ tattvam iti | vadanti [bhā.pu. 1.2.11] ity ādāv advaya-padena labhyate, tac ca bhāva-sādhanam | tarhy eva tasyādvaya-viśeṣa-labdhena sajātīyādi-bheda-rāhityenānantatvaṁ satyam upapadyate | anyathā kāraka-sādhane jñeya-jñāna-tat-sādhanaiḥ pravibhāge sāntatvam eva syāt | tathā kartṛ-sādhane jñānasya kartṛtayā vikriyamāṇasya karaṇādi-sādhane ca vāsyādivad jaḍatayā pratipannasyāsatyatvam eva ca syāt | tasmāj jñapty-avabodha-paryāyaṁ taj jñānaṁ nāma tattvaṁ śaktimad iti na yujyate | ","अथ श्रीभगवदाविर्भावे द्वितीयस्कन्धप्रकरणसमाप्ताव् अस्य वाक्यस्य चूर्णिकातः प्राग् इदं विचार्यम् । तत्राद्वैतवादिन एवं वदन्ति—सजातीयविजातीयस्वगतभेदरहितं ज्ञानम् एव परं तत्त्वम् इति । वदन्ति [भा.पु. १.२.११] इत्य् आदाव् अद्वयपदेन लभ्यते, तच् च भावसाधनम् । तर्ह्य् एव तस्याद्वयविशेषलब्धेन सजातीयादिभेदराहित्येनानन्तत्वं सत्यम् उपपद्यते । अन्यथा कारकसाधने ज्ञेयज्ञानतत्साधनैः प्रविभागे सान्तत्वम् एव स्यात् । तथा कर्तृसाधने ज्ञानस्य कर्तृतया विक्रियमाणस्य करणादिसाधने च वास्यादिवद् जडतया प्रतिपन्नस्यासत्यत्वम् एव च स्यात् । तस्माज् ज्ञप्त्यवबोधपर्यायं तज् ज्ञानं नाम तत्त्वं शक्तिमद् इति न युज्यते । ","अथ श्रीभगवदाविर्भावे द्वितीयस्कन्धप्रकरणसमाप्ताव् अस्य वाक्यस्य चूर्णिकातः प्राग् इदꣳ विचार्यम् । तत्राद्वैतवादिन एवꣳ वदन्ति—सजातीयविजातीयस्वगतभेदरहितꣳ ज्ञानम् एव परꣳ तत्त्वम् इति । वदन्ति [भा.पु. १.२.११] इत्य् आदाव् अद्वयपदेन लभ्यते, तच् च भावसाधनम् । तर्ह्य् एव तस्याद्वयविशेषलब्धेन सजातीयादिभेदराहित्येनानन्तत्वꣳ सत्यम् उपपद्यते । अन्यथा कारकसाधने ज्ञेयज्ञानतत्साधनैः प्रविभागे सान्तत्वम् एव स्यात् । तथा कर्तृसाधने ज्ञानस्य कर्तृतया विक्रियमाणस्य करणादिसाधने च वास्यादिवद् जडतया प्रतिपन्नस्यासत्यत्वम् एव च स्यात् । तस्माज् ज्ञप्त्यवबोधपर्यायꣳ तज् ज्ञानꣳ नाम तत्त्वꣳ शक्तिमद् इति न युज्यते । "
7,svarūpa-bhūtayaiva śaktyā yujyate iti cet ka svit svarūpa-śaktiḥ ? sā ca kiṁ tad-atiriktānatirktā vā ? ādye kathaṁ svarūpatvaṁ ? antye ca kathaṁ śaktitvaṁ ? ,स्वरूपभूतयैव शक्त्या युज्यते इति चेत् क स्वित् स्वरूपशक्तिः ? सा च किं तदतिरिक्तानतिर्क्ता वा ? आद्ये कथं स्वरूपत्वं ? अन्त्ये च कथं शक्तित्वं ? ,स्वरूपभूतयैव शक्त्या युज्यते इति चेत् क स्वित् स्वरूपशक्तिः ? सा च किꣳ तदतिरिक्तानतिर्क्ता वा ? आद्ये कथꣳ स्वरूपत्वꣳ ? अन्त्ये च कथꣳ शक्तित्वꣳ ? 
8,"atha sādhitāyāṁ ca bhedena svarūpa-śaktyāṁ tasyāḥ kathaṁ ṣaḍguṇātmaka-bhaga-mayatvaṁ, yena tad bhagavān iti śabdyate ? tasya tattvasya jñāna-mātra-svarūpatvāt sāpi jñānaika-svarūpaiva bhavitum arhati | tataś ca tad-vilāsasya nānātvaṁ na sambhavati | katham api nānātve ca īśitādi-lakṣaṇa-kriyā-guṇatvaṁ tasyā na yujyata eva |","अथ साधितायां च भेदेन स्वरूपशक्त्यां तस्याः कथं षड्गुणात्मकभगमयत्वं, येन तद् भगवान् इति शब्द्यते ? तस्य तत्त्वस्य ज्ञानमात्रस्वरूपत्वात् सापि ज्ञानैकस्वरूपैव भवितुम् अर्हति । ततश् च तद्विलासस्य नानात्वं न सम्भवति । कथम् अपि नानात्वे च ईशितादिलक्षणक्रियागुणत्वं तस्या न युज्यत एव ।","अथ साधितायाꣳ च भेदेन स्वरूपशक्त्याꣳ तस्याः कथꣳ षड्गुणात्मकभगमयत्वꣳ, येन तद् भगवान् इति शब्द्यते ? तस्य तत्त्वस्य ज्ञानमात्रस्वरूपत्वात् सापि ज्ञानैकस्वरूपैव भवितुम् अर्हति । ततश् च तद्विलासस्य नानात्वꣳ न सम्भवति । कथम् अपि नानात्वे च ईशितादिलक्षणक्रियागुणत्वꣳ तस्या न युज्यत एव ।"
9,"kiṁ ca nīla-pītādy-ākāratvaṁ paricchinnatvaṁ ca tasya niṣiddham | samprati tu tat-tad-varṇa-tāpa-vicchinna-caturbhujādy-ākāratā ca katham asyāṅgīkṛtā ? api ca tat-paricchadānāṁ dravya-viśeṣaṇatvāt, vaikuṇṭhasya loka-viśeṣatvāt, tatratya-janānāṁ ca jīva-viśeṣatvāt kathaṁ tad-ādīnāṁ tādṛśatvaṁ ? tad evaṁ tasya tattvasya punar api tat-tad-avasthā svīkāre hasti-snānam iva sarvaṁ jātam | tasmād yā śaktiḥ kāryānyathānupapattyā pratīyate, sā tattvātattvābhyām anirvacanīyatvena mithyaiva, na tu svarūpa-bhūtā | tan-mayaṁ ca bhagādikam atropalakṣaṇam eveti | jahad-ajahal-lakṣaṇaiva tenādvaya-jñānena bhagavataḥ sāmānādhikaraṇyaṁ yuktam iti |","किं च नीलपीताद्याकारत्वं परिच्छिन्नत्वं च तस्य निषिद्धम् । सम्प्रति तु तत्तद्वर्णतापविच्छिन्नचतुर्भुजाद्याकारता च कथम् अस्याङ्गीकृता ? अपि च तत्परिच्छदानां द्रव्यविशेषणत्वात्, वैकुण्ठस्य लोकविशेषत्वात्, तत्रत्यजनानां च जीवविशेषत्वात् कथं तदादीनां तादृशत्वं ? तद् एवं तस्य तत्त्वस्य पुनर् अपि तत्तदवस्था स्वीकारे हस्तिस्नानम् इव सर्वं जातम् । तस्माद् या शक्तिः कार्यान्यथानुपपत्त्या प्रतीयते, सा तत्त्वातत्त्वाभ्याम् अनिर्वचनीयत्वेन मिथ्यैव, न तु स्वरूपभूता । तन्मयं च भगादिकम् अत्रोपलक्षणम् एवेति । जहदजहल्लक्षणैव तेनाद्वयज्ञानेन भगवतः सामानाधिकरण्यं युक्तम् इति ।","किꣳ च नीलपीताद्याकारत्वꣳ परिच्छिन्नत्वꣳ च तस्य निषिद्धम् । सम्प्रति तु तत्तद्वर्णतापविच्छिन्नचतुर्भुजाद्याकारता च कथम् अस्याङ्गीकृता ? अपि च तत्परिच्छदानाꣳ द्रव्यविशेषणत्वात्, वैकुण्ठस्य लोकविशेषत्वात्, तत्रत्यजनानाꣳ च जीवविशेषत्वात् कथꣳ तदादीनाꣳ तादृशत्वꣳ ? तद् एवꣳ तस्य तत्त्वस्य पुनर् अपि तत्तदवस्था स्वीकारे हस्तिस्नानम् इव सर्वꣳ जातम् । तस्माद् या शक्तिः कार्यान्यथानुपपत्त्या प्रतीयते, सा तत्त्वातत्त्वाभ्याम् अनिर्वचनीयत्वेन मिथ्यैव, न तु स्वरूपभूता । तन्मयꣳ च भगादिकम् अत्रोपलक्षणम् एवेति । जहदजहल्लक्षणैव तेनाद्वयज्ञानेन भगवतः सामानाधिकरण्यꣳ युक्तम् इति ।"
10,"śrī-vaiṣṇavās tv evaṁ vadanti—bhāva-svarūpasyaiva tasya tattvasya gale-gṛhīta-nyāyena svarūpa-śaktis tāvad avaśyam eva tair apy aṅgīkāryā, jagad-ādi-kārya-darśanena tasyā avaśyambhāvāt kaivalye ca doṣāpatter iti | ","श्रीवैष्णवास् त्व् एवं वदन्ति—भावस्वरूपस्यैव तस्य तत्त्वस्य गलेगृहीतन्यायेन स्वरूपशक्तिस् तावद् अवश्यम् एव तैर् अप्य् अङ्गीकार्या, जगदादिकार्यदर्शनेन तस्या अवश्यम्भावात् कैवल्ये च दोषापत्तेर् इति । ","श्रीवैष्णवास् त्व् एवꣳ वदन्ति—भावस्वरूपस्यैव तस्य तत्त्वस्य गलेगृहीतन्यायेन स्वरूपशक्तिस् तावद् अवश्यम् एव तैर् अप्य् अङ्गीकार्या, जगदादिकार्यदर्शनेन तस्या अवश्यम्भावात् कैवल्ये च दोषापत्तेर् इति । "
11,"tathā hi, śaktir nāma kāryānyathānupapatti-siddhau vastuno dharma-viśeṣaḥ | sā tu sarvān upādāne nimitte ca kāraṇe svarūpa-bhūtaiva mantavyā, kārya-viśeṣotpattau tat-kāraṇatvena vastu-viśeṣa-svīkārānarthakya-prasaṅgāt | vivarte’pi rajatādi-sphūrtāv adhiṣṭhānaṁ śukty-ādikam evāṅgīkriyate, na cāṅārādi | prastute’pi brahmaṇa eva jagad-adhiṣṭhānatvaṁ, na tv anyasyeti, tathaiva svarūpa-śaktitvaṁ viditam |","तथा हि, शक्तिर् नाम कार्यान्यथानुपपत्तिसिद्धौ वस्तुनो धर्मविशेषः । सा तु सर्वान् उपादाने निमित्ते च कारणे स्वरूपभूतैव मन्तव्या, कार्यविशेषोत्पत्तौ तत्कारणत्वेन वस्तुविशेषस्वीकारानर्थक्यप्रसङ्गात् । विवर्तेऽपि रजतादिस्फूर्ताव् अधिष्ठानं शुक्त्यादिकम् एवाङ्गीक्रियते, न चाङारादि । प्रस्तुतेऽपि ब्रह्मण एव जगदधिष्ठानत्वं, न त्व् अन्यस्येति, तथैव स्वरूपशक्तित्वं विदितम् ।","तथा हि, शक्तिर् नाम कार्यान्यथानुपपत्तिसिद्धौ वस्तुनो धर्मविशेषः । सा तु सर्वान् उपादाने निमित्ते च कारणे स्वरूपभूतैव मन्तव्या, कार्यविशेषोत्पत्तौ तत्कारणत्वेन वस्तुविशेषस्वीकारानर्थक्यप्रसङ्गात् । विवर्तेऽपि रजतादिस्फूर्ताव् अधिष्ठानꣳ शुक्त्यादिकम् एवाङ्गीक्रियते, न चाङारादि । प्रस्तुतेऽपि ब्रह्मण एव जगदधिष्ठानत्वꣳ, न त्व् अन्यस्येति, तथैव स्वरूपशक्तित्वꣳ विदितम् ।"
12,"kiṁ ca, tad-rūpe vivarte brahmaṇaḥ kiñcit-karatvam asti nāsti vā ? nāsti cet, ajñānenaiva vivartatāṁ, kiṁ tad atirikta-tad-aṅgīkāreṇa ? asti cet, āyātā tasya jñānāśrayasya śuddhasyaiva śaktiḥ | evaṁ cādvaita-śārīraka-kṛtāpy uktaṁ—","किं च, तद्रूपे विवर्ते ब्रह्मणः किञ्चित्करत्वम् अस्ति नास्ति वा ? नास्ति चेत्, अज्ञानेनैव विवर्ततां, किं तद् अतिरिक्ततदङ्गीकारेण ? अस्ति चेत्, आयाता तस्य ज्ञानाश्रयस्य शुद्धस्यैव शक्तिः । एवं चाद्वैतशारीरककृताप्य् उक्तं—","किꣳ च, तद्रूपे विवर्ते ब्रह्मणः किञ्चित्करत्वम् अस्ति नास्ति वा ? नास्ति चेत्, अज्ञानेनैव विवर्तताꣳ, किꣳ तद् अतिरिक्ततदङ्गीकारेण ? अस्ति चेत्, आयाता तस्य ज्ञानाश्रयस्य शुद्धस्यैव शक्तिः । एवꣳ चाद्वैतशारीरककृताप्य् उक्तꣳ—"
13,"śaktiś ca kāraṇasya kārya-niyamārthā kalpyamānā nānyā asatī vā kāryaṁ niyacchet, asattvāviśeṣād anyatvāviśeṣāc ca | tasmāt kāraṇasyātma-bhūtā śaktiḥ, śakteś cātma-bhūtaṁ kāryam | [śaṅkara-bhāṣya 2.3.18] iti | ","शक्तिश् च कारणस्य कार्यनियमार्था कल्प्यमाना नान्या असती वा कार्यं नियच्छेत्, असत्त्वाविशेषाद् अन्यत्वाविशेषाच् च । तस्मात् कारणस्यात्मभूता शक्तिः, शक्तेश् चात्मभूतं कार्यम् । [शङ्करभाष्य २.३.१८] इति । ","शक्तिश् च कारणस्य कार्यनियमार्था कल्प्यमाना नान्या असती वा कार्यꣳ नियच्छेत्, असत्त्वाविशेषाद् अन्यत्वाविशेषाच् च । तस्मात् कारणस्यात्मभूता शक्तिः, शक्तेश् चात्मभूतꣳ कार्यम् । [शङ्करभाष्य २.३.१८] इति । "
